DOI,Grupo,Revista,Controle pareado,Ano,Revista
10.7554/elife.34364,ARRIVE 1.0,eLife,10.1113/JP276431,2018,The Journal of Physiology
10.1002/acn3.569,ARRIVE 1.0,Annals of Clinical and Translational Neurology,10.1007/s12975-017-0559-x,2018,Translational Stroke Research
10.1007/s11064-018-2681-x,ARRIVE 1.0,Neurochemical Research,10.1155/2018/7161592,2018,Oxidative Medicine and Cellular Longevity
10.1016/j.resp.2018.05.005,ARRIVE 1.0,Respiratory Physiology & Neurobiology,10.1172/JCI96139,2018,Journal of Clinical Investigation
10.30802/aalas-cm-17-000099,ARRIVE 1.0,Comparative Medicine,10.1111/1440-1681.12905,2018,Clinical and Experimental Pharmacology and Physiology
10.1097/j.pain.0000000000001445,ARRIVE 1.0,Pain,10.1016/j.neuron.2018.01.016,2018,Neuron
10.1016/j.biochi.2018.12.007,ARRIVE 1.0,Biochimie,10.1074/jbc.RA118.004638,2018,Journal of Biological Chemistry
10.1016/j.bbi.2018.11.012,ARRIVE 1.0,"Brain, Behavior, and Immunity",10.1007/s10456-018-9658-x,2018,Angiogenesis
10.1007/s11064-018-2678-5,ARRIVE 1.0,Neurochemical Research,10.1038/nature25975,2018,Nature
10.1186/s12917-018-1335-1,ARRIVE 1.0,BMC Veterinary Research,10.1016/j.chom.2018.07.006,2018,Cell Host & Microbe
10.1186/s12931-018-0927-4,ARRIVE 1.0,Respiratory Research,10.1080/15548627.2018.1532259,2018,Autophagy
10.1016/j.nbd.2018.04.014,ARRIVE 1.0,Neurobiology of Disease,10.1016/j.cell.2018.02.004,2018,Cell
10.1038/s41598-018-25820-y,ARRIVE 1.0,Scientific Reports,10.1007/s12022-018-9523-x,2018,Endocrine Pathology
10.2174/1874210601812010937,ARRIVE 1.0,The Open Dentistry Journal,10.1016/j.jbiomech.2018.08.011,2018,Journal of Biomechanics
10.1016/j.bja.2017.12.043,ARRIVE 1.0,British Journal of Anaesthesia,10.1016/j.anireprosci.2018.01.007,2018,Animal Reproduction Science
10.1139/apnm-2017-0670,ARRIVE 1.0,"Applied Physiology, Nutrition, and Metabolism",10.1161/CIRCRESAHA.118.313143,2018,Circulation Research
10.1038/s41598-021-88097-8,ARRIVE 2.0,Scientific Reports,10.1186/s12943-020-01269-4,2020,Molecular Cancer
10.1038/s41401-021-00626-3,ARRIVE 2.0,Acta Pharmacologica Sinica,10.1126/scitranslmed.aaz8664,2020,Science Translational Medicine
10.1186/s13550-021-00799-2,ARRIVE 2.0,EJNMMI Research,10.1038/s41598-020-74226-2,2020,Scientific Reports
10.1038/s41598-021-84943-x,ARRIVE 2.0,Scientific Reports,10.1038/s41586-020-2995-0,2020,Nature
10.1038/s41598-021-92633-x,ARRIVE 2.0,Scientific Reports,10.1038/s41598-020-76378-7,2020,Scientific Reports
10.1038/s41598-021-95183-4,ARRIVE 2.0,Scientific Reports,10.3390/biom10020172,2020,Biomolecules
10.1155/2021/8835730,ARRIVE 2.0,Mediators of Inflammation,10.1089/neu.2018.6348,2020,Journal of Neurotrauma
10.1111/bph.15291,ARRIVE 2.0,British Journal of Pharmacology,10.1016/j.cell.2020.02.016,2020,Cell
10.1111/bph.15367,ARRIVE 2.0,British Journal of Pharmacology,10.1172/JCI129401,2020,Journal of Clinical Investigation
10.1111/bph.15522,ARRIVE 2.0,British Journal of Pharmacology,10.1165/rcmb.2019-0164OC,2020,American Journal of Respiratory Cell and Molecular Biology
10.1111/bph.15411,ARRIVE 2.0,British Journal of Pharmacology,10.1161/CIRCULATIONAHA.119.044803,2020,Circulation
10.1016/j.jid.2020.06.025,ARRIVE 2.0,Journal of Investigative Dermatology,10.1158/0008-5472.CAN-20-0108,2020,Cancer Research
10.1177/0271678x20982396,ARRIVE 2.0,Journal of Cerebral Blood Flow & Metabolism,10.1038/s41467-020-17564-z,2020,Nature Communications
10.1111/bph.15502,ARRIVE 2.0,British Journal of Pharmacology,,,
10.1101/2021.01.13.426626,ARRIVE 2.0,BioRxiv,,,
10.1111/bph.15385,ARRIVE 2.0,British Journal of Pharmacology,10.1164/rccm.202009-3419OC,2020,American Journal of Respiratory and Critical Care Medicine
10.1016/j.jbo.2021.100356,ARRIVE 2.0,Journal of Bone Oncology,10.1016/j.cell.2020.05.039,2020,Cell
10.1371/journal.pone.0198709,ARRIVE 1.0,PLOS ONE,,,
10.1111/bph.15434,ARRIVE 2.0,British Journal of Pharmacology,10.3390/ijms21228551,2020,International Journal of Molecular Sciences
10.1038/s41598-018-31905-5,ARRIVE 1.0,Scientific Reports,10.1021/acsnano.7b07643,2020,ACS Nano